학교명,설립별,지역별,학제별,평균등록금(원),장학금_총계,총_대출_학생수,총_대출_금액,총_등록금대출_금액,위도,경도
국립군산대학교,국공립,전북,대학,3891106.1,19321814315,1424,3369307672,1101657672,35.9503457085,126.6803568281
국립금오공과대학교,국공립,경북,대학,3773623.1,15883557975,1332,3085633480,1005433480,36.145631543,128.3878818806
국립목포해양대학교,국공립,전남,대학,3412114.0,6337842030,1044,2176020600,377553920,34.7899637494,126.3658262464
국립부경대학교,국공립,부산,대학,4049668.0,46037259487,3246,7535852596,2406521670,35.1311678251,129.1048237573
국립순천대학교,국공립,전남,대학,3970127.2,18856085743,1411,3164521350,906837990,34.966761282,127.4809230568
국립창원대학교,국공립,경남,대학,3768749.5,23036121425,1857,4344325901,1422050210,35.2470031223,128.6919277262
국립한국교통대학교,국공립,충북,대학,4103672.1,25580036345,1919,4369586296,1356684198,36.9688466997,127.8727694477
국립한국해양대학교,국공립,부산,대학,3722953.1,18441583865,1938,4389983878,1141999199,35.0744079571,129.0873481454
국민대학교,사립,서울,대학,8616796.8,56739723104,5484,23204538394,16850036444,37.61028784,126.9985206
국제대학교,사립,경기,전문대학,7468045.9,10052723834,864,2431841325,1247691325,37.0655111094,127.0802911043
국제사이버대학교,사립,경기,대학,2524286.0,7972948000,401,788717000,93567000,37.2695937546,127.0282232335
군산간호대학교,사립,전북,전문대학,6353625.0,3970818467,468,1233438665,512138665,35.9710187044,126.7601076489
극동대학교,사립,충북,대학,7846600.1,11290077400,909,3244605560,2036755560,37.12825493,127.641871
글로벌사이버대학교,사립,충남,대학,2502176.9,4896489705,342,686283950,96333950,36.7938874629,127.1994105318
금강대학교,사립,충남,대학,6598000.0,768846365,22,42682000,3282000,36.3068265948,127.189714025
기독간호대학교,사립,광주,전문대학,5528712.7,1916844758,199,541272372,225222372,35.1383078501,126.9158688965
김천대학교,사립,경북,대학,7387386.5,11359508730,580,1631924500,796774500,36.1394042514,128.0818388784
김포대학교,사립,경기,전문대학,7015264.2,7459688664,448,1460716340,910808000,37.6513794632,126.6792129046
김해대학교,사립,경남,전문대학,6409703.8,7485129638,837,2296745874,1042787974,35.2541400567,128.9130469854
나사렛대학교,사립,충남,대학,7911622.7,21164632125,1557,4848228659,2938527508,36.79834753,127.1194779
남부대학교,사립,광주,대학,6766873.8,10401593100,727,1806898001,777648001,35.2086092539,126.8421989486
남서울대학교,사립,충남,대학,8616388.3,36337338629,2597,8579682937,5462663484,36.91091373,127.1436195
농협대학교,사립,경기,전문대학,4982666.7,1100962675,176,495290000,176140000,37.6595130985,126.8732287156
단국대학교,사립,경기,대학,8842297.7,76166048653,8471,32738869080,22293887924,37.3211938748,127.1325359352
대경대학교,사립,경북,전문대학,6496174.3,16537949913,1066,2651600339,1039918971,35.8344517618,128.8210469762
대구가톨릭대학교,사립,경북,대학,7904801.4,50944494232,3559,10562890159,5846092414,35.9089671138,128.8074220338
대구경북과학기술원,국공립,대구,대학,7934000.0,2501474825,227,484683680,54200340,35.7056387443,128.4550110375
대구공업대학교,사립,대구,전문대학,6040550.6,6570966620,84,171595500,31895500,35.8340818364,128.5443282864
대구과학대학교,사립,대구,전문대학,6305808.3,22528490490,958,2460734910,1044284910,35.9292535875,128.5427832614
대구교육대학교,국공립,대구,대학,3896000.0,3556199070,391,1082022280,549672280,35.8514315842,128.587739243
대구대학교,사립,경북,대학,7556022.7,68638008459,4718,14002407640,8021919186,35.9045389738,128.8428132643
대구보건대학교,사립,대구,전문대학,6797857.4,27937740888,2406,6590279718,3192678436,35.9268445138,128.5440276515
대구사이버대학교,사립,경북,대학,2691789.5,6609855855,784,1807582591,463698562,35.9045389738,128.8428132643
대구예술대학교,사립,경북,대학,8390429.3,1127356696,91,245243500,141193500,36.0314201283,128.5080914944
대구한의대학교,사립,경북,대학,7845054.2,32253898367,1817,5269130409,2546730280,35.7939880542,128.7773243478
대덕대학교,사립,대전,전문대학,6268134.3,6893147456,321,710077653,249858719,36.3908441195,127.3674509514
대동대학교,사립,부산,전문대학,6596194.4,5734535311,654,1778905583,855955583,35.2291325119,129.0958647019
대림대학교,사립,경기,전문대학,7359284.1,26246181964,1776,5165274194,2997269586,37.4032913499,126.930684165
대신대학교,사립,경북,대학,6626353.4,2885882115,216,651936840,318853500,35.803944789,128.7451373212
대원대학교,사립,충북,전문대학,6447452.7,7327877596,664,1729788069,675638069,37.1757962965,128.1905289421
대전과학기술대학교,사립,대전,전문대학,6424652.2,13420732483,1073,3024500369,1434395212,36.3017868631,127.3757667173
대전보건대학교,사립,대전,전문대학,6505339.1,15720122941,1413,3904855447,1854555447,36.3505061603,127.4559042488
대전신학대학교,사립,대전,대학,6100000.0,368776000,62,225194500,128694500,36.350575768,127.4235434771
대진대학교,사립,경기,대학,8246988.5,29120483653,2526,8031518058,5103200747,37.8738102149,127.1575541253
덕성여자대학교,사립,서울,대학,7810760.7,17152027475,1537,5049160093,3271471504,37.6495090773,127.0163952301
동강대학교,사립,광주,전문대학,5860777.0,9464133502,640,1624802300,590002300,35.1694378564,126.9223460925
동국대학교,사립,서울,대학,8560649.0,76072851709,7348,29466873214,19996606773,37.55893664,126.9987376
동남보건대학교,사립,경기,전문대학,6785908.1,15736031210,1539,4768714667,2920341937,37.2969384403,126.9870000727
동덕여자대학교,사립,서울,대학,8126346.6,24344442934,1944,6892912593,4559030524,37.6068148328,127.0411763018
동서대학교,사립,부산,대학,7543205.4,37384960111,3202,9162939387,4892616554,35.14611992,129.0070172
동서울대학교,사립,경기,전문대학,7161803.3,20171949602,1752,5282552252,3124199690,37.4582854422,127.1288443914
동신대학교,사립,전남,대학,7249025.9,25454944180,1434,4052211722,1955411722,35.0496248791,126.7179925226
동아대학교,사립,부산,대학,7896057.5,66348824140,6225,21484532524,13362786284,35.118809391,128.9680849672
동아방송예술대학교,사립,경기,전문대학,7877335.8,12152781075,1518,4921181479,2916037009,37.0623612286,127.3532946296
동아보건대학교,사립,전남,전문대학,4846806.6,4059026670,343,799421700,244221700,34.73035573,126.5674321
동양대학교,사립,경북,대학,7942642.8,15974708819,1024,2934212036,1645212036,36.8858030211,128.5297792853
동양미래대학교,사립,서울,전문대학,7237317.7,23618814199,1879,5610707852,3511987289,37.4999957879,126.8681696567
동원과학기술대학교,사립,경남,전문대학,6373017.2,10478041818,740,2002027973,870577973,35.3423574124,129.0673552324
동원대학교,사립,경기,전문대학,7343439.7,13181186877,789,2183802980,1171052980,37.3280799949,127.4014405351
동의과학대학교,사립,부산,전문대학,6875240.2,18436651798,1198,3077474749,1255558079,35.1658498304,129.0722265866
동의대학교,사립,부산,대학,7580400.9,58338448394,4266,12403668665,6346575877,35.1443208095,129.0363091747
두원공과대학교,사립,경기,전문대학,7019783.0,7621621477,800,2391369161,1328769161,37.064918845,127.4240959807
디지털서울문화예술대학교,사립,서울,대학,3126349.9,6143454333,633,1600027854,643577854,37.58544374,126.9438792
마산대학교,사립,경남,전문대학,6397885.8,19166508600,1649,4422326785,2063056785,35.2598731294,128.5036938492
명지대학교,사립,경기,대학,8793563.1,47871835560,5320,21326978552,14920553131,37.2218072639,127.1901837275
명지전문대학,사립,서울,전문대학,7163968.3,26020423885,2011,6324759810,3790576460,37.5853653,126.9256899
목원대학교,사립,대전,대학,7965994.0,30611706320,2068,6099505592,3180179389,36.3288661319,127.3374467368
목포가톨릭대학교,사립,전남,대학,6758000.0,2306669880,115,302859817,134609817,34.8267833664,126.418919797
