2025년_ [재적 학생 현황 (대학)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기준연도,학교종류,설립구분,지역,상태,학교,학생정원,재학생(A),,,,,,,휴학생(B),,,,,,,학사학위취득유예학생(C),,,,,,,재적학생(D=A+B+C),,,,,,
,,,,,,,계,,,남,,여,,계,,,남,,여,,계,,,남,,여,,계,,,남,,여,
,,,,,,,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외
2025,대학교,사립,광주,기존,광신대학교,454,436,398,38,156,15,242,23,38,37,1,23,0,14,1,0,0,0,0,0,0,0,474,435,39,179,15,256,24
2025,대학교,사립,서울,기존,광운대학교,"7,038","8,414","6,723","1,691","4,259",782,"2,464",909,"2,803","2,536",267,"2,158",210,378,57,0,0,0,0,0,0,0,"11,217","9,259","1,958","6,417",992,"2,842",966
2025,대학교,사립,전남,기존,광주가톨릭대학교,160,61,61,0,55,0,6,0,32,32,0,32,0,0,0,0,0,0,0,0,0,0,93,93,0,87,0,6,0
2025,대학교,특별법법인,광주,기존,광주과학기술원,800,920,830,90,556,64,274,26,248,244,4,226,4,18,0,0,0,0,0,0,0,0,"1,168","1,074",94,782,68,292,26
2025,교육대학,국립,광주,기존,광주교육대학교,"1,265","1,257","1,178",79,485,21,693,58,41,39,2,25,1,14,1,0,0,0,0,0,0,0,"1,298","1,217",81,510,22,707,59
2025,대학교,사립,광주,기존,광주대학교,"5,412","4,900","4,479",421,"2,171",156,"2,308",265,"1,243","1,183",60,956,42,227,18,15,15,0,4,0,11,0,"6,158","5,677",481,"3,131",198,"2,546",283
2025,대학교,사립,광주,기존,광주여자대학교,"3,611","3,239","2,978",261,42,17,"2,936",244,163,154,9,0,0,154,9,12,10,2,0,0,10,2,"3,414","3,142",272,42,17,"3,100",255
2025,대학교,국립,강원,기존,국립강릉원주대학교,"5,057","4,723","4,369",354,"2,535",172,"1,834",182,"1,906","1,781",125,"1,492",102,289,23,82,80,2,41,1,39,1,"6,711","6,230",481,"4,068",275,"2,162",206
2025,대학교,국립,강원,기존,국립강릉원주대학교_제2캠퍼스,"1,961","1,958","1,831",127,"1,035",82,796,45,727,688,39,627,35,61,4,34,32,2,19,2,13,0,"2,719","2,551",168,"1,681",119,870,49
2025,대학교,국립,경북,기존,국립경국대학교,"5,629","4,602","4,372",230,"2,708",144,"1,664",86,"1,794","1,714",80,"1,530",73,184,7,48,45,3,29,3,16,0,"6,444","6,131",313,"4,267",220,"1,864",93
