2025년_ [재적 학생 현황 (대학)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기준연도,학교종류,설립구분,지역,상태,학교,학생정원,재학생(A),,,,,,,휴학생(B),,,,,,,학사학위취득유예학생(C),,,,,,,재적학생(D=A+B+C),,,,,,
,,,,,,,계,,,남,,여,,계,,,남,,여,,계,,,남,,여,,계,,,남,,여,
,,,,,,,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외
2025,사이버대학(대학),사립,서울,기존,한양사이버대학교,"10,880","16,640","10,635","6,005","5,112","2,978","5,523","3,027","1,219",787,432,363,182,424,250,0,0,0,0,0,0,0,"17,859","11,422","6,437","5,475","3,160","5,947","3,277"
2025,대학교,사립,전북,기존,한일장신대학교,876,699,630,69,304,41,326,28,200,199,1,139,1,60,0,5,4,1,2,0,2,1,904,833,71,445,42,388,29
2025,대학교,사립,경기,기존,협성대학교,"4,016","3,773","3,530",243,"1,551",141,"1,979",102,"1,266","1,195",71,872,55,323,16,57,57,0,20,0,37,0,"5,096","4,782",314,"2,443",196,"2,339",118
2025,대학교,사립,광주,기존,호남대학교,"6,068","6,223","5,278",945,"2,694",505,"2,584",440,"1,632","1,543",89,"1,354",70,189,19,13,13,0,7,0,6,0,"7,868","6,834","1,034","4,055",575,"2,779",459
2025,대학교,사립,광주,기존,호남신학대학교,476,396,391,5,150,1,241,4,356,356,0,210,0,146,0,0,0,0,0,0,0,0,752,747,5,360,1,387,4
2025,대학교,사립,충남,기존,호서대학교,"11,568","11,923","10,882","1,041","5,952",570,"4,930",471,"3,661","3,461",200,"2,992",182,469,18,49,46,3,18,1,28,2,"15,633","14,389","1,244","8,962",753,"5,427",491
2025,산업대학,사립,전북,기존,호원대학교,"4,277","5,013","3,478","1,535","1,552",560,"1,926",975,"1,092",992,100,684,64,308,36,12,11,1,6,1,5,0,"6,117","4,481","1,636","2,242",625,"2,239","1,011"
2025,대학교,사립,서울,기존,홍익대학교,"9,680","12,368","9,826","2,542","5,000",813,"4,826","1,729","3,799","3,269",530,"2,362",283,907,247,918,808,110,332,50,476,60,"17,085","13,903","3,182","7,694","1,146","6,209","2,036"
2025,대학교,사립,세종,기존,홍익대학교_제2캠퍼스,"5,286","5,518","5,054",464,"2,374",189,"2,680",275,"1,886","1,737",149,"1,261",101,476,48,347,312,35,107,9,205,26,"7,751","7,103",648,"3,742",299,"3,361",349
2025,대학교,사립,경기,기존,화성의과학대학교,"1,056",533,495,38,214,8,281,30,172,162,10,133,7,29,3,0,0,0,0,0,0,0,705,657,48,347,15,310,33
2025,사이버대학(대학),사립,부산,기존,화신사이버대학교,"1,586","2,093","1,537",556,501,216,"1,036",340,157,125,32,50,10,75,22,0,0,0,0,0,0,0,"2,250","1,662",588,551,226,"1,111",362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
