학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,학제별,평균입학금,평균등록금(원),일반학자금대출_전체_학생수,일반학자금대출_전체_금액,일반학자금대출_등록금_학생수,일반학자금대출_등록금_금액,취업학자금대출_전체_학생수,취업학자금대출_전체_금액,취업학자금대출_등록금_학생수,취업학자금대출_등록금_금액,일반_생활비대출_금액,취업_생활비대출_금액,총_생활비대출_금액,총_등록금대출_금액,총_대출_금액,총_대출_학생수,재학생수,대출학생비율(%),1인당_대출액(원)
수성대학교,사립,대구,12329601384,24878000,15925474730,전문대학,0,6388042.7,263,643320000,95,222520000,472,1144620680,191,390054000,420800000,754566680,1175366680,612574000,1787940680,735,3411,21.54793315743184,524169.064790384
수원과학대학교,사립,경기,6422453920,446417500,8515467444,전문대학,0,6011130.5,340,988622000,229,574422000,536,1440341636,287,649291247,414200000,791050389,1205250389,1223713247,2428963636,876,3020,29.00662251655629,804292.5947019868
수원대학교,사립,경기,19062589249,2994113000,31646858717,대학,0,8195102.4,1075,3860912000,807,2655862000,1284,3980944563,736,2234768011,1205050000,1746176552,2951226552,4890630011,7841856563,2359,8368,28.190726577437857,937124.3502629063
수원여자대학교,사립,경기,9234750900,1052513867,12401768746,전문대학,0,7213277.4,415,1347041720,325,930391720,770,2218135221,474,1196776641,416650000,1021358580,1438008580,2127168361,3565176941,1185,3672,32.271241830065364,970908.7529956427
숙명여자대학교,사립,서울,21027099188,4000885400,37266114624,대학,0,8825485.2,2451,12074681960,2159,9795498960,1427,5004663642,886,3070658742,2279183000,1934004900,4213187900,12866157702,17079345602,3878,10134,38.267219261890666,1685350.858693507
순복음총회신학교,사립,충북,449260000,0,545410000,대학,0,6243103.4,22,70430000,14,32180000,19,65860000,14,36460000,38250000,29400000,67650000,68640000,136290000,41,137,29.927007299270077,994817.5182481752
순천향대학교,사립,충남,28501380864,2667226000,43959133744,대학,0,8540656.9,1176,4349984500,869,3049201500,1854,5339452008,931,2732551020,1300783000,2606900988,3907683988,5781752520,9689436508,3030,11080,27.346570397111915,874497.8797833935
숭실대학교,사립,서울,28208743304,2245337000,47295097252,대학,0,8643438.3,2893,13871105300,2426,10802196500,1982,6310749875,1263,3705699875,3068908800,2605050000,5673958800,14507896375,20181855175,4875,14738,33.0777581761433,1369375.4359478897
숭실사이버대학교,사립,서울,9464162237,1034783000,14230790237,대학,0,2772244.9,737,1611935000,273,293385000,306,659065982,123,129665982,1318550000,529400000,1847950000,423050982,2271000982,1043,7536,13.840233545647559,301353.633492569
숭의여자대학교,사립,서울,8195808946,623040854,10915944203,전문대학,0,6587312.7,337,1052185650,254,687185650,485,1337902104,286,677735170,365000000,660166934,1025166934,1364920820,2390087754,822,2999,27.40913637879293,796961.5718572858
신구대학교,사립,경기,17404202025,1944395590,23132255675,전문대학,0,7227605.5,768,2505983100,591,1702983100,1340,3780533648,778,1957247786,803000000,1823285862,2626285862,3660230886,6286516748,2108,5889,35.79555102733911,1067501.5703854645
신라대학교,사립,부산,21006608940,1101497880,27686176338,대학,0,7298401.8,904,2841904240,661,1762704240,1456,4005453004,794,1903070198,1079200000,2102382806,3181582806,3665774438,6847357244,2360,6877,34.317289515777226,995689.5803402646
신성대학교,사립,충남,8010228488,213396101,10347635940,전문대학,0,6915858.1,344,1071320000,203,574420000,643,1793125015,304,788725015,496900000,1004400000,1501300000,1363145015,2864445015,987,2700,36.55555555555556,1060905.5611111112
신안산대학교,사립,경기,5510025054,2582200,8942966273,전문대학,0,7253397.8,209,618853500,142,396003500,279,737869605,162,359869605,222850000,378000000,600850000,755873105,1356723105,488,2735,17.84277879341865,496059.63619744056
신한대학교,사립,경기,18835101642,2145501786,27399613195,대학,0,9187366.5,1011,4107262360,892,3234562360,1656,5848262704,1288,4037421153,872700000,1810841551,2683541551,7271983513,9955525064,2667,693,384.8484848484849,14365837.033189034
아신대학교,사립,경기,1075821480,1140000,1456549490,대학,0,6900000.0,278,1073800000,252,685300000,123,376433247,84,195033247,388500000,181400000,569900000,880333247,1450233247,401,236,169.91525423728814,6145056.131355932
아주대학교,사립,경기,20549030008,2202459850,33881462317,대학,0,9093154.8,3075,14304832250,2617,10922882250,1699,5592034364,1124,3240364761,3381950000,2351669603,5733619603,14163247011,19896866614,4774,10194,46.83146949185796,1951821.327643712
아주자동차대학교,사립,충남,894859750,193520000,1758168030,전문대학,0,7204000.0,60,185850000,43,106750000,67,202820000,39,96820000,79100000,106000000,185100000,203570000,388670000,127,912,13.925438596491228,426173.2456140351
안동과학대학교,사립,경북,6214318865,15572000,8206602093,전문대학,0,5939264.6,200,540337900,97,241937900,436,1130227851,210,442477851,298400000,687750000,986150000,684415751,1670565751,636,2014,31.57894736842105,829476.5397219463
안양대학교,사립,경기,12709649900,1219359000,18027042578,대학,0,8369570.6,664,2430796650,591,1845446650,928,2892567362,693,1854817362,585350000,1037750000,1623100000,3700264012,5323364012,1592,4353,36.57247875028716,1222918.4498047323
여주대학교,사립,경기,8410410937,438098700,11548910721,전문대학,0,7519321.8,385,1276854130,282,825154130,706,2054898592,443,1057898592,451700000,997000000,1448700000,1883052722,3331752722,1091,2744,39.75947521865889,1214195.5983965015
연성대학교,사립,경기,17429796259,1454204500,23236174920,전문대학,0,7086392.6,604,1952612000,465,1343812000,1040,2868613758,589,1561148368,608800000,1307465390,1916265390,2904960368,4821225758,1644,5959,27.58852156402081,809066.2456788052
연세대학교,사립,서울,47776857337,14509817368,97485820452,대학,0,9745809.0,10131,61469580085,9091,51042530085,3832,13837447077,2230,8150350121,10427050000,5687096956,16114146956,59192880206,75307027162,13963,21005,66.47464889312069,3585195.294548917
연암공과대학교,사립,경남,3233148868,327810000,4427791532,전문대학,0,5568095.9,73,180018660,31,76768660,174,417162510,48,124145830,103250000,293016680,396266680,200914490,597181170,247,1102,22.413793103448278,541906.6878402904
